country,Sum of  GDP [2015],Sum of % Female SME,Sum of % Micro Female,Current Supply,Sum of Current Volume / GDP,Sum of Female_Fully Constrained,Sum of Female_Fully Constrained %,Sum of Female_Partly Constrained,Sum of Female_Partly Constrained %,Sum of Female_Unconstrained,Sum of Female_Unconstrained %,Sum of Finance gap / Current Volume,Sum of Finance Gap / GDP,incomelevel,Sum of Informal as % of Formal,Sum of Informal Potential Demand,Sum of informal2007,Sum of Male_Fully Constrained,Sum of Male_Fully Constrained %,Sum of Male_Partly Constrained,Sum of Male_Partly Constrained %,Sum of Male_Unconstrained,Sum of Male_Unconstrained %,Sum of micro % of gdp CURRENT SUPPLYl demand,Sum of micro % of gdp FINANCIAL GAP,Sum of micro % of gdp potential demand,Sum of Micro Men Gap,Sum of Micro Women Gap,Sum of Micro_Fully Constrained,Sum of Micro_Fully Constrained %,Sum of Micro_Partly Constrained,Sum of Micro_Partly Constrained %,Sum of Micro_Unconstrained,Sum of Micro_Unconstrained %,Sum of Micro: Current Volume,Sum of Micro: Finance Gap,Sum of Micro: Potential Demand,Sum of MSME Finance gap,Sum of Number of Micro - Men,Sum of Number of Micro - Women,Sum of Number of Microenterprises,Sum of Number of MSMEs,Sum of Number of SMEs,Sum of Number of SMEs - Men,Sum of Number of SMEs - Women,Sum of Potential Demand,Sum of Potential Demand / GDP,region,Sum of SME % OF GDP TO CURRENT SUPPLY,Sum of SME % OF GDP TO FINANCIAL GAP,Sum of SME % OF GDP TO POTENTIAL DEMAND,Sum of SME Men Gap,Sum of SME Women Gap,Sum of SME_Fully Constrained,Sum of SME_Fully Constrained %,Sum of SME_Partly Constrained,Sum of SME_Partly Constrained %,Sum of SME_Unconstrained,Sum of SME_Unconstrained %,Sum of SME: Current Volume,Sum of SME: Finance Gap,Sum of SME: Potential Demand,Source - Current Supply,Source - Number of Micro Enterprises,Source - Number of SMEs
Costa Rica,$51106697216,13.67%,9.61%,$5050556846,9.88%,$1703.433581,43.75%,485.25029,12.46%,1705.104619,43.79%,0.943465391,9.32%,Upper middle income,31.58%,3099657611,0.24,6101.956993,19.22%,4427.764829,13.95%,21221.48969,66.84%,0.51%,,,,,10733.79566,44.58%,2245.008927,9.32%,11101.19541,46.10%,$259918991.9,,,$4765025589,21766.63755,2313.362445,24080,35645,11565,9984.573955,1580.426045,$9815582435,19.21%,Latin America & Caribbean,9.37%,,,,,1598.258013,13.82%,1778.537618,15.38%,8188.204369,70.80%,$4790637854,,,Predicted,"Country source : Directorio de Empresas y Establecimientos 2017
http://www.inec.go.cr/sites/default/files/documetos-biblioteca-virtual/redee2017.pdf","Country source : Directorio de Empresas y Establecimientos 2017
http://www.inec.go.cr/sites/default/files/documetos-biblioteca-virtual/redee2017.pdf"
Côte d'Ivoire,$31752544256,10.85%,21.65%,$1426843718,4.49%,$14079.57022,49.39%,4690.168042,16.45%,9738.820721,34.16%,1.650696209,7.42%,Lower middle income,,0,,42509.06077,32.55%,25113.15595,19.23%,62961.53199,48.22%,0.03%,0.57%,0.61%,125500136.9,$56568551.43,45259.69243,43.48%,21083.08357,20.25%,37749.53169,36.27%,$10280050.41,$182068688.3,$192348738.7,$2355285515,81551.31023,22540.99746,104092.3077,159092.3077,55000,49032.43848,5967.561521,$3782129233,11.91%,Sub-Saharan Africa,4.46%,6.84%,11.31%,2085773364,$87443462.8,15110.59598,27.47%,9588.938238,17.43%,30300.46579,55.09%,$1416563667,$2173216827,$3589780494,Predicted,Enterprise Surveys -- rescaled,http://www.entrepreneuriat.gouv.ci/source/Strategie%20PME%20RCI_Rapport%20_%203.pdf
Croatia,$48732004352,19.55%,36.09%,$7256471842,14.89%,$12014.36784,22.55%,12805.1783,24.04%,28452.80095,53.41%,1.308701327,19.49%,High income,43.68%,7317413731,0.304,10688.27833,10.69%,21322.78862,21.32%,67978.58597,67.99%,1.67%,4.00%,5.67%,1294275069,$654229735.9,25941.14756,18.41%,22705.05772,16.11%,92281.79473,65.48%,$815374647.6,$1948504805,$2763879453,$9496554331,90067.48709,50860.51291,140928,153262,12334,9922.165834,2411.834166,$16753026173,34.38%,Europe & Central Asia,13.22%,15.49%,28.71%,5987970625,$1560078901,1334.996802,10.82%,3188.813758,25.85%,7810.189439,63.32%,$6441097195,$7548049526,$13989146721,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Czech Republic,$181811000000,14.91%,23.00%,$29935445460,16.47%,$0,0.00%,838.5927614,0.39%,211787.5352,99.61%,2.388177154,39.32%,High income,20.48%,20774121333,0.17,23096.46598,3.18%,60716.55341,8.36%,642609.8526,88.46%,2.13%,2.32%,4.45%,4158993117,$64389647.01,0,0.00%,61746.18451,6.88%,836148.8155,93.12%,$3874932224,$4223382764,$8098314988,$71491146931,691404.4299,206490.5701,897895,939049,41154,35018.44216,6135.557844,$101427000000,55.79%,Europe & Central Asia,14.33%,37.00%,51.33%,66221202726,$1046561441,1463.474198,3.56%,2800.789984,6.81%,36889.73582,89.64%,$26060513236,$67267764167,$93328277404,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Djibouti,$1589025920,18.18%,16.67%,$65413570.07,4.12%,$49.00384611,10.23%,56.50426261,11.79%,373.7158931,77.98%,2.240494351,9.22%,Lower middle income,,0,,93.0433399,4.00%,174.0895045,7.49%,2058.605933,88.51%,2.46%,0.81%,3.27%,11531306.45,$1276146.606,161.6099957,7.96%,21.44832848,1.06%,1847.710907,90.99%,$39089206.7,$12807453.06,$51896659.75,$146558734.2,1692.307692,338.4615385,2030.769231,2804.962779,774.1935484,633.431085,140.7624633,$211972304.3,13.34%,Middle East & North Africa,1.66%,8.42%,10.07%,113445912.5,$20305368.66,28.75377214,3.71%,91.41064502,11.81%,654.0291312,84.48%,$26324363.37,$133751281.2,$160075644.6,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Dominica,$537777792,34.85%,25.56%,$57579278.64,10.71%,$95.60703896,14.53%,340.6127695,51.77%,221.7544753,33.70%,1.200031946,12.85%,Upper middle income,,0,,41.25467151,2.32%,712.9551611,40.16%,1021.066504,57.52%,1.14%,3.73%,4.87%,15088170.83,$4983564.175,44.20306154,2.16%,941.0036462,45.99%,1060.947138,51.85%,$6143574.935,$20071735.01,$26215309.94,$69096973.8,1523.076923,523.0769231,2046.153846,2433.25062,387.0967742,252.1994135,134.8973607,$126676252.4,23.56%,Latin America & Caribbean,9.56%,9.12%,18.68%,37510205.3,$11515033.5,35.67221604,9.22%,155.8276997,40.26%,195.5968585,50.53%,$51435703.7,$49025238.8,$100460942.5,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Dominican Republic,$67103264768,9.91%,4.64%,$3474739423,5.18%,$0,0.00%,12408.97389,32.90%,25304.88727,67.10%,3.729591942,19.31%,Upper middle income,43.88%,7212086864,0.305,23972.53671,3.18%,232423.6174,30.84%,497125.9847,65.97%,0.15%,0.88%,1.03%,551537258.2,$39548796.44,0,0.00%,194395.344,25.15%,578503.656,74.85%,$97348154.24,$591086054.7,$688434208.9,$12959360152,737001.7414,35897.2586,772899,791236,18337,16520.39744,1816.602564,$16434099575,24.49%,Latin America & Caribbean,5.03%,18.43%,23.46%,11118491277,$1249782820,701.7231003,3.83%,6054.100819,33.02%,11581.17608,63.16%,$3377391269,$12368274097,$15745665366,"Country: Source 1: http://www.bancentral.gov.do:8080/english/statistics.asp?a=Monetary_and_Financial_Sector
Source 2: http://sb.gob.do/transparencia-estad%C3%ADsticas-institucionales/estad%C3%ADsticas-financieras-mensuales-y-trimestrales",FondoMicro 2014 y MIC. SME population's distribution between Small/Medium is 70/30 based on the IFC expert estimate,FondoMicro 2014 y MIC. SME population's distribution between Small/Medium is 70/30 based on the IFC expert estimate
Ecuador,$100872000000,10.90%,14.70%,$4049685700,4.01%,$0,0.00%,28574.38582,28.45%,71850.68479,71.55%,4.429432378,17.78%,Upper middle income,43.68%,9603733298,0.304,34959.13449,5.82%,141065.4636,23.49%,424549.3313,70.69%,0.43%,2.19%,2.62%,1941620926,$266916444.9,69126.7353,10.95%,92446.8679,14.64%,469856.3968,74.41%,$434747425,$2208537371,$2643284796,$17937808957,538588.1621,92841.83793,631430,700999,69569,61985.76732,7583.232683,$21987494656,21.80%,Latin America & Caribbean,3.58%,15.59%,19.18%,14450787242,$1278484343,1166.912793,1.68%,20464.00163,29.42%,47938.08557,68.91%,$3614938275,$15729271585,$19344209860,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
"Egypt, Arab Rep.",$330779000000,6.14%,7.71%,$2819748677,0.85%,$32977.78198,17.44%,18894.50542,9.99%,137183.4265,72.56%,16.56968884,14.12%,Lower middle income,49.48%,24511864534,0.331,392194.361,17.32%,224898.766,9.93%,1647418.159,72.75%,0.05%,2.33%,2.38%,6797789796,$925818116.3,514324.8972,21.01%,302560.8328,12.36%,1630647.27,66.62%,$155950519,$7723607912,$7879558431,$46722358190,2258847.982,188685.0185,2447533,2453567,6034,5663.3046,370.6953997,$49542106867,14.98%,Middle East & North Africa,0.81%,11.79%,12.60%,37410830094,$1587920184,916.0310956,15.18%,515.1948914,8.54%,4602.774013,76.28%,$2663798158,$38998750277,$41662548436,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Eritrea,,1.62%,2.11%,$0,,$0,0.00%,0,0.00%,91.91040347,100.00%,,,Low income,70.65%,84879240.53,0.414,130.6729205,2.92%,249.5191287,5.58%,4092.661815,91.50%,,,,0,$0,46.98165606,1.28%,23.49082803,0.64%,3591.065977,98.08%,$0,$0,$28816281.89,$0,3584.290815,77.24764687,3661.538462,4564.764268,903.2258065,888.5630499,14.6627566,$120143079.6,,Sub-Saharan Africa,,,,0,$0,119.1618035,13.19%,62.51022933,6.92%,721.5537736,79.89%,$0,$0,$91326797.7,"",Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Estonia,$22691483648,18.73%,29.98%,$2253754880,9.93%,$909.7977888,4.78%,3357.330563,17.65%,14758.87749,77.57%,2.33983334,23.24%,High income,41.84%,3149665075,0.295,2641.25816,5.63%,1990.255879,4.25%,42249.48012,90.12%,1.57%,3.63%,5.19%,679396459.5,$143253186.7,5372.408979,9.05%,1352.276625,2.28%,52647.3144,88.67%,$355354449,$822649646.2,$1178004095,$5273410808,41569.86922,17802.13078,59372,65907,6535,5311.124937,1223.875063,$7527165688,33.17%,Europe & Central Asia,8.37%,19.61%,27.98%,4073240526,$377520635.3,151.0061017,2.31%,771.5296785,11.81%,5612.46422,85.88%,$1898400431,$4450761162,$6349161593,OECD,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Ethiopia,$61537144832,16.39%,32.24%,$1687733587,2.74%,$17465.95377,47.26%,8228.392811,22.27%,11258.9096,30.47%,2.54196745,6.97%,Low income,54.08%,3233038518,0.351,33656.82817,33.77%,15142.43772,15.19%,50880.01639,51.04%,0.17%,0.58%,0.75%,225865711,$132734703.7,48768.0638,53.09%,17011.31745,18.52%,26082.15721,28.39%,$101598635.5,$358600414.7,$460199050.2,$4290163843,62246.15385,29615.38462,91861.53846,136632.5385,44771,37433.12844,7337.871558,$5977897430,9.71%,Sub-Saharan Africa,2.58%,6.39%,8.97%,3666734580,$264828848.3,11581.84643,25.87%,6991.743972,15.62%,26197.4096,58.51%,$1586134952,$3931563428,$5517698380,Predicted,Enterprise Surveys -- rescaled,MSME Country Indicators 2014 (IFC)
Fiji,$4386008576,10.72%,9.01%,$251675666.6,5.74%,$0,0.00%,170.5429974,18.00%,777.1541329,82.00%,4.310429719,24.73%,Upper middle income,48.37%,646440558.1,0.326,213.7628523,2.36%,590.1080162,6.51%,8259.169651,91.13%,0.06%,4.55%,4.61%,195282766.5,$4393819.141,0,0.00%,270.3412584,3.68%,7083.504895,96.32%,$2438131.712,$199676585.7,$202114717.4,$1084830273,6690.920819,662.9253346,7353.846154,10010.73765,2656.891496,2372.1197,284.7717957,$1336505939,30.47%,East Asia & Pacific,5.68%,20.18%,25.86%,814355163.7,$70798523.2,98.47424492,3.71%,284.0858549,10.69%,2274.331396,85.60%,$249237534.8,$885153686.9,$1134391222,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
"Gambia, The",$850903168,20.31%,22.43%,$50651572.61,5.95%,$379.0525354,19.18%,568.3578051,28.76%,1029.010803,52.06%,1.93386455,11.51%,Low income,69.20%,102841599,0.409,685.7250936,9.04%,3757.707697,49.56%,3138.621754,41.40%,0.03%,1.68%,1.71%,12076673.33,$2237610.737,247.2523077,15.02%,902.4429385,54.82%,496.4586,30.16%,$268619.8475,$14314284.07,$14582903.92,$97953280.68,1276.923077,369.2307692,1646.153846,9558.475688,7912.321842,6305.131468,1607.190374,$148604853.3,17.46%,Sub-Saharan Africa,5.92%,9.83%,15.75%,67941942.96,$15697053.65,509.3398939,6.44%,3760.766133,47.53%,3642.215815,46.03%,$50382952.76,$83638996.61,$134021949.4,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
Georgia,$13965385728,27.27%,32.69%,$1169986126,8.38%,$8163.799196,25.59%,21012.06412,65.87%,2721.266399,8.53%,2.125490504,17.81%,Upper middle income,163.85%,5991716908,0.621,13229.16265,17.65%,1746.664598,2.33%,59985.35073,80.02%,1.14%,2.74%,3.89%,277915486.3,$105178085.5,10490.34793,20.61%,2035.245263,4.00%,38366.7145,75.39%,$159654152.3,$383093571.7,$542747724,$2486794402,34256.5095,16635.79819,50892.30769,106858.3077,55966,40704.66847,15261.33153,$3656780528,26.18%,Europe & Central Asia,7.23%,15.06%,22.30%,1204356103,$899344726.7,7158.006179,12.79%,1655.123816,2.96%,47152.87,84.25%,$1010331974,$2103700830,$3114032804,FAS,Enterprise Surveys -- rescaled,MSME Country Indicators 2014 (IFC)
Ghana,$37864370176,17.62%,26.84%,$2738047528,7.23%,$4298.265334,12.48%,2105.915847,6.12%,28026.31767,81.40%,1.823491402,13.19%,Lower middle income,62.07%,4798892949,0.383,45512.81337,36.25%,47356.02777,37.72%,32689.83501,26.04%,0.12%,0.54%,0.66%,172824039.4,$29884463.29,26444.65741,39.04%,25375.89507,37.46%,15918.62252,23.50%,$47247638.71,$202708502.7,$249956141.4,$4992806125,49559.97149,18179.20351,67739.175,159989.175,92250,75998.70466,16251.29534,$7730853653,20.42%,Sub-Saharan Africa,7.11%,12.65%,19.76%,4577225643,$212871980,32751.23075,35.50%,33314.91746,36.11%,26183.8518,28.38%,$2690799889,$4790097623,$7480897512,Predicted,Enterprise Surveys -- rescaled,Bastiat Ghana SME study
Grenada,$978148160,25.83%,39.80%,$89347053.52,9.13%,$294.7561711,41.26%,231.9857985,32.47%,187.6275318,26.26%,1.968869867,17.98%,Upper middle income,,0,,39.10990412,3.16%,166.1714557,13.44%,1030.856696,83.39%,0.83%,1.81%,2.64%,11962021.82,$5725051.877,90.00973867,5.97%,667.0923418,44.25%,750.5902273,49.78%,$8105730.928,$17687073.7,$25792804.63,$175912721.4,907.6923077,600,1507.692308,1950.507557,442.8152493,328.4457478,114.3695015,$265259775,27.12%,Latin America & Caribbean,8.31%,16.18%,24.48%,142594391.4,$15631256.33,6.371742484,1.44%,61.19573294,13.82%,375.2477738,84.74%,$81241322.6,$158225647.7,$239466970.3,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Guatemala,$63794348032,16.28%,40.38%,$2348000000,3.68%,$4646.849579,3.32%,67697.23792,48.31%,67788.94908,48.37%,6.036052817,22.22%,Lower middle income,91.94%,15188852812,0.479,46537.82402,20.14%,43809.14211,18.96%,140696.0476,60.90%,0.55%,0.69%,1.24%,182587779.3,$256426918.4,85309.61531,25.79%,53215.38445,16.09%,192241.8069,58.12%,$351000000,$439014697.6,$790014697.6,$14172652014,197212.6546,133554.1521,330766.8067,371176.0503,40409.2436,33830.35914,6578.884461,$16520652014,25.90%,Latin America & Caribbean,3.13%,21.53%,24.66%,12829810445,$903826871.7,5951.496922,14.73%,8007.858811,19.82%,26449.88787,65.46%,$1997000000,$13733637317,$15730637317,Country Source: Superintency of Banks (April 2018),"Ministry of Finance, National System of MSME Information (2015)","Ministry of Finance, National System of MSME Information (2015)"
Guinea,$6699203584,10.22%,6.34%,$79019051.07,1.18%,$124.4253191,14.64%,144.2683156,16.97%,581.297067,68.39%,14.99087954,17.68%,Low income,64.47%,814679239.9,0.392,2686.686481,22.70%,2429.139943,20.53%,6717.828261,56.77%,0.13%,9.93%,10.06%,184339282.6,$480751333.1,2613.490741,22.71%,2426.088075,21.08%,6468.113492,56.21%,$8631257.76,$665090615.8,$673721873.5,$1184565076,10777.93621,729.7560976,11507.69231,12683.64539,1175.953079,1055.718475,120.2346041,$1263584127,18.86%,Sub-Saharan Africa,1.05%,7.75%,8.80%,492717775.2,$26756685.14,268.6744424,22.85%,239.2516701,20.35%,668.0269667,56.81%,$70387793.31,$519474460.3,$589862253.6,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Guinea-Bissau,$1056851008,9.28%,17.53%,$33211702.4,3.14%,$295.0800949,24.36%,295.0800949,24.36%,621.1663781,51.28%,3.915792624,12.31%,Low income,71.23%,116296106.4,0.416,3799.237289,41.34%,4839.881425,52.66%,551.9718288,6.01%,0.16%,9.12%,9.29%,89081219.49,$7350636.547,1264.706892,42.37%,1505.475815,50.44%,214.4326769,7.18%,$1738453.331,$96431856.04,$98170309.37,$130050139.3,2461.538462,523.0769231,2984.615385,10402.41711,7417.801727,6729.552082,688.2496447,$163261841.7,15.45%,Sub-Saharan Africa,2.98%,3.18%,6.16%,30968528.33,$2649754.934,2017.627234,27.20%,4961.315089,66.88%,438.8594036,5.92%,$31473249.07,$33618283.26,$65091532.33,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
Guyana,$3166029056,24.90%,11.11%,$619118537.4,19.56%,$406.2264342,15.42%,1927.230561,73.14%,301.6032851,11.45%,0.189615975,3.71%,Upper middle income,51.52%,379415943.7,0.34,480.8141056,2.39%,4494.917758,22.33%,15154.60375,75.28%,0.30%,0.16%,0.46%,4572077.454,$493680.1341,0,0.00%,6041.736019,27.46%,15958.26398,72.54%,$9503923.334,$5065757.588,$14569680.92,$117394765.1,19555.55556,2444.444444,22000,22765.39589,765.3958944,574.7800587,190.6158358,$736513302.5,23.26%,Latin America & Caribbean,19.25%,3.55%,22.80%,74516301.11,$37812706.37,17.0969551,2.23%,162.9799366,21.29%,585.3190027,76.47%,$609614614.1,$112329007.5,$721943621.6,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Honduras,$20152043520,23.14%,38.31%,$1136203890,5.64%,$0,0.00%,9994.42453,22.69%,34055.13877,77.31%,2.62822085,14.82%,Lower middle income,82.15%,3386524204,0.451,25760.2893,30.93%,11738.22079,14.09%,45781.92661,54.97%,1.62%,4.73%,6.35%,900261679.3,$52947677.71,28055.9935,29.17%,7250.973015,7.54%,60868.03348,63.29%,$327202461.4,$953209357,$1280411818,$2986194753,59335.08475,36839.91525,96175,127330,31155,23945.35196,7209.648042,$4122398643,20.46%,Latin America & Caribbean,4.01%,10.09%,14.10%,1853965036,$179020360,6913.177826,22.19%,6104.996959,19.60%,18136.82521,58.21%,$809001428.7,$2032985396,$2841986825,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Hungary,$120687000000,24.14%,29.18%,$17264339344,14.31%,$26205.12325,13.13%,23641.45572,11.84%,149795.1815,75.03%,2.126466289,30.42%,High income,31.06%,16765925120,0.237,68690.41536,14.02%,69115.3603,14.11%,352062.4638,71.87%,0.43%,11.30%,11.73%,9966405083,$3667693527,88385.73421,13.43%,133403.3618,20.26%,436520.904,66.31%,$517141413.6,$13634098610,$14151240023,$36712035622,466200.7498,192109.2502,658310,689510,31200,23667.48971,7532.510288,$53976374966,44.72%,Europe & Central Asia,13.88%,19.12%,33.00%,20564610324,$2513326688,4999.901937,16.03%,2520.210226,8.08%,23679.88784,75.90%,$16747197931,$23077937012,$39825134942,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
India,$2073540000000,6.10%,7.36%,$139456000000,6.73%,$802840.6513,17.22%,579446.5352,12.43%,3280512.744,70.35%,1.649717933,11.10%,Lower middle income,26.10%,96456975627,0.207,9777977.43,16.65%,17315332.9,29.49%,31631889.74,53.86%,0.21%,0.43%,0.64%,8388858039,$566969104.1,8601044.974,13.64%,13378412.89,21.22%,41072542.14,65.14%,$4327777769,$8955827143,$13283604912,$230063000000,58409698.39,4642301.61,63052000,63388000,336000,315501.6798,20498.32021,$369519000000,17.82%,South Asia,6.52%,10.66%,17.18%,201508000000,$19598639297,58501.99099,17.41%,107290.0581,31.93%,170207.9509,50.66%,$135128000000,$221107000000,$356235000000,FAS,"Annual Report 2017-18 - Ministry of Micro, Small and Medium Enterprises","Annual Report 2017-18 - Ministry of Micro, Small and Medium Enterprises"
Indonesia,$861934000000,17.01%,23.72%,$56612630954,6.57%,$1825564.757,12.28%,4048090.526,27.22%,8996040.244,60.50%,2.929603219,19.24%,Lower middle income,21.80%,48503369856,0.179,9441145.971,19.65%,15433366.13,32.12%,23178409.37,48.24%,1.06%,8.47%,9.53%,,,13948513.7,22.46%,18628053.47,29.99%,29530332.83,47.55%,$9133882622,$73020272445,$82154155068,$165853000000,47375993.1,14730906.9,62106900,62922617,815717,676928.3781,138788.6219,$222465000000,25.81%,East Asia & Pacific,5.51%,10.77%,16.28%,71652687520,$21179585906,143778.3582,17.63%,250122.1957,30.66%,421816.4461,51.71%,$47478748332,$92832273426,$140311000000,FAS,"BAPPENAS (Ministry of Planning), 2017","BAPPENAS (Ministry of Planning), 2017"
Iraq,$168607000000,8.03%,5.19%,$1501801029,0.89%,$3015.832172,23.36%,3096.700014,23.99%,6796.778855,52.65%,46.51062511,41.43%,Upper middle income,,0,,52840.72495,24.96%,71308.9762,33.68%,87551.06473,41.36%,0.10%,18.93%,19.03%,29394902785,$2522976778,44000.69623,24.35%,46615.73844,25.79%,90106.64225,49.86%,$161844010.9,$31917879562,$32079723573,$69849704659,171338.4615,9384.615385,180723.0769,224610.0769,43887,40362.30434,3524.695656,$71351505689,42.32%,Middle East & North Africa,0.79%,22.50%,23.29%,33212755433,$4719069664,10209.7297,23.26%,16411.04658,37.39%,17266.22371,39.34%,$1339957018,$37931825097,$39271782115,FAS,Enterprise Surveys -- rescaled,MSME Country Indicators 2014 (IFC)
Jamaica,$14005654528,20.64%,15.60%,$432143612.6,3.09%,$208.9185648,11.49%,93.76345056,5.16%,1516.028401,83.36%,6.288739385,19.40%,Upper middle income,48.15%,1516561785,0.325,114.7702021,1.33%,4062.794766,47.14%,4441.724616,51.53%,0.11%,0.55%,0.66%,66435973.16,$11209089.26,0,0.00%,1334.674129,20.03%,5330.325871,79.97%,$14857195.64,$77645062.42,$92502258.06,$2717638556,5625.070922,1039.929078,6665,10438,3773,2994.218662,778.7813384,$3149782169,22.49%,Latin America & Caribbean,2.98%,18.85%,21.83%,2351265370,$288728124,54.1267451,1.43%,1990.060321,52.74%,1728.812934,45.82%,$417286416.9,$2639993494,$3057279911,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Jordan,$37517410304,8.51%,4.97%,$2308450774,6.15%,$52.67246485,0.64%,3955.407259,48.21%,4196.209165,51.15%,2.851314452,17.54%,Upper middle income,20.77%,1846833346,0.172,24742.07778,16.73%,28471.41663,19.26%,94642.21671,64.01%,1.33%,1.86%,3.19%,632096945.7,$64592945.88,30657.96009,21.38%,29088.9693,20.29%,83615.07061,58.32%,$498268391.5,$696689891.6,$1194958283,$6582119054,136238.6447,7123.355306,143362,156060,12698,11617.06642,1080.933583,$8890569828,23.70%,Middle East & North Africa,4.82%,15.69%,20.51%,5778171002,$107258160.4,1587.397795,12.50%,2372.744572,18.69%,8737.857633,68.81%,$1810182383,$5885429162,$7695611545,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Kazakhstan,$184361000000,19.05%,30.19%,$14267900000,7.74%,$70674.14912,19.13%,83940.40292,22.72%,214851.2328,58.15%,2.965600005,22.95%,Upper middle income,62.34%,35271138269,0.384,142213.8855,15.45%,223814.6384,24.31%,554505.6913,60.24%,0.24%,1.94%,2.18%,2364747651,$1208195659,197787.715,17.80%,352732.5928,31.75%,560479.6921,50.45%,$437309315.8,$3572943310,$4010252626,$42312884307,775639.6576,335360.3424,1111000,1290000,179000,144894.5575,34105.44249,$56580784307,30.69%,Europe & Central Asia,7.50%,21.01%,28.51%,34366984290,$4372956707,30280.94895,16.92%,35600.40638,19.89%,113118.6447,63.19%,$13830590684,$38739940997,$52570531681,Bank of Kazakhstan (2018,https://www.damu.kz/content/files/OtchetOSostoyaniiRazvitiyaMalogoISrednegoPredprinimatelstvaVKazakhstaneIEgoRegionakh2015.pdf,https://www.damu.kz/content/files/OtchetOSostoyaniiRazvitiyaMalogoISrednegoPredprinimatelstvaVKazakhstaneIEgoRegionakh2015.pdf
Kenya,$63398039552,22.87%,33.97%,$3854957054,6.08%,$118321.3691,22.90%,95037.79777,18.40%,303244.6424,58.70%,5.013371707,30.48%,Lower middle income,41.84%,9699972277,0.295,116786.3025,11.19%,228640.1676,21.90%,698469.7207,66.91%,0.11%,1.71%,1.82%,262841157.4,$822779116.6,251233.8091,17.46%,353469.7082,24.57%,834077.4827,57.97%,$69208097.96,$1085620274,$1154828372,$19326332625,950014.7769,488766.2231,1438781,1560500,121719,93881.41389,27837.58611,$23181289679,36.56%,Sub-Saharan Africa,5.97%,28.77%,34.74%,16370536507,$1870175844,12842.2663,10.55%,23832.03569,19.58%,85044.69801,69.87%,$3785748956,$18240712351,$22026461307,"Country: Finaccess study ""Bank financing to SMEs in Kenya"", 2015. Data as of 2013.","Kenya National Bureau od Statistics, MSME Survey Report, September 2016","Kenya National Bureau od Statistics, MSME Survey Report, September 2016"
Kosovo,$6385937920,6.61%,13.33%,$1653642974,25.90%,$2496.238388,18.20%,2681.284152,19.55%,8539.433361,62.25%,0.206969188,5.36%,Lower middle income,,0,,9383.125191,10.43%,19489.17065,21.66%,61107.74826,67.91%,1.44%,0.07%,1.50%,4137664.319,$162521.9341,13159.31669,12.89%,15845.86009,15.52%,73064.82322,71.58%,$91681073.24,$4300186.253,$95981259.49,$342253143.8,88460.66667,13609.33333,102070,103697,1627,1519.377432,107.6225681,$1995896118,31.25%,Europe & Central Asia,24.46%,5.29%,29.75%,191356806.5,$146596151.1,160.6957724,9.88%,421.3390096,25.90%,1044.965218,64.23%,$1561961901,$337952957.5,$1899914858,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Kyrgyz Republic,$6571853824,28.99%,41.67%,$91889280.53,1.40%,$18573.50546,15.30%,32398.75419,26.69%,70397.70543,58.00%,15.2764623,21.36%,Lower middle income,63.40%,948211397.7,0.388,70876.39896,40.01%,11812.72956,6.67%,94440.9064,53.32%,0.00%,0.23%,0.23%,9929731.059,$4884310.305,123593.3303,44.98%,9790.255201,3.56%,141416.4145,51.46%,$0,$14814041.36,$14814041.36,$1403743130,160300,114500,274800,298500,23700,16830.03492,6869.965076,$1495632411,22.76%,Europe & Central Asia,1.40%,21.13%,22.53%,1131756143,$257172945.8,8439.203074,35.61%,1961.183683,8.28%,13299.61324,56.12%,$91889280.53,$1388929089,$1480818369,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Lao PDR,$12327488512,36.18%,46.57%,$439038255.1,3.56%,$16790.24393,28.87%,5949.166358,10.23%,35424.1866,60.90%,5.941559373,21.16%,Lower middle income,38.89%,1185181711,0.28,21791.2342,31.80%,6814.58172,9.94%,39925.5872,58.26%,1.99%,11.70%,13.69%,680534808.1,$761728993.8,43154.59425,36.39%,7652.923472,6.45%,67784.48228,57.16%,$245081596.1,$1442263802,$1687345398,$2608571859,63359.90031,55232.09969,118592,126695,8103,5171.502801,2931.497199,$3047610115,24.72%,East Asia & Pacific,1.57%,9.46%,11.03%,825904400.9,$340403656.8,1565.673853,19.32%,1082.432581,13.36%,5454.893565,67.32%,$193956659,$1166308058,$1360264717,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
