country,Sum of  GDP [2015],Sum of % Female SME,Sum of % Micro Female,Current Supply,Sum of Current Volume / GDP,Sum of Female_Fully Constrained,Sum of Female_Fully Constrained %,Sum of Female_Partly Constrained,Sum of Female_Partly Constrained %,Sum of Female_Unconstrained,Sum of Female_Unconstrained %,Sum of Finance gap / Current Volume,Sum of Finance Gap / GDP,incomelevel,Sum of Informal as % of Formal,Sum of Informal Potential Demand,Sum of informal2007,Sum of Male_Fully Constrained,Sum of Male_Fully Constrained %,Sum of Male_Partly Constrained,Sum of Male_Partly Constrained %,Sum of Male_Unconstrained,Sum of Male_Unconstrained %,Sum of micro % of gdp CURRENT SUPPLYl demand,Sum of micro % of gdp FINANCIAL GAP,Sum of micro % of gdp potential demand,Sum of Micro Men Gap,Sum of Micro Women Gap,Sum of Micro_Fully Constrained,Sum of Micro_Fully Constrained %,Sum of Micro_Partly Constrained,Sum of Micro_Partly Constrained %,Sum of Micro_Unconstrained,Sum of Micro_Unconstrained %,Sum of Micro: Current Volume,Sum of Micro: Finance Gap,Sum of Micro: Potential Demand,Sum of MSME Finance gap,Sum of Number of Micro - Men,Sum of Number of Micro - Women,Sum of Number of Microenterprises,Sum of Number of MSMEs,Sum of Number of SMEs,Sum of Number of SMEs - Men,Sum of Number of SMEs - Women,Sum of Potential Demand,Sum of Potential Demand / GDP,region,Sum of SME % OF GDP TO CURRENT SUPPLY,Sum of SME % OF GDP TO FINANCIAL GAP,Sum of SME % OF GDP TO POTENTIAL DEMAND,Sum of SME Men Gap,Sum of SME Women Gap,Sum of SME_Fully Constrained,Sum of SME_Fully Constrained %,Sum of SME_Partly Constrained,Sum of SME_Partly Constrained %,Sum of SME_Unconstrained,Sum of SME_Unconstrained %,Sum of SME: Current Volume,Sum of SME: Finance Gap,Sum of SME: Potential Demand,Source - Current Supply,Source - Number of Micro Enterprises,Source - Number of SMEs
Latvia,$27035267072,18.69%,41.71%,$8376864416,30.98%,$9234.126575,29.80%,2153.202497,6.95%,19597.20368,63.25%,0.147768813,4.58%,High income,37.36%,3592306886,0.272,2516.838043,5.24%,2615.807552,5.44%,42935.82166,89.32%,7.59%,,,,,8306.795924,11.80%,4817.72984,6.84%,57276.47424,81.36%,$2052088912,,,$1237839309,41033.72571,29367.27429,70401,79053,8652,7034.741538,1617.258462,$9614703725,35.56%,Europe & Central Asia,23.39%,,,,,180.0252457,2.08%,504.681386,5.83%,7967.293368,92.09%,$6324775504,,,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Lebanon,$47102873600,7.88%,16.30%,$8835797317,18.76%,$3531.383977,13.12%,2272.888468,8.45%,21108.9205,78.43%,0.642427454,12.05%,Upper middle income,47.06%,6829249927,0.32,20977.7754,14.61%,13473.0922,9.38%,109139.9395,76.01%,1.79%,1.15%,2.95%,471849382.6,$70826014.9,43356.79046,27.10%,16069.75889,10.05%,100545.4506,62.85%,$844726348.4,$542675397.5,$1387401746,$5676358777,133888.8383,26083.16172,159972,170504,10532,9701.968773,830.0312268,$14512156094,30.81%,Middle East & North Africa,16.97%,10.90%,27.86%,4801105218,$332578161.5,821.3835974,7.80%,1130.231854,10.73%,8580.384549,81.47%,$7991070969,$5133683379,$13124754348,Source: Country: Central Bank of Lebanon http://www.bdl.gov.lb/statistics/,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Lesotho,$2181300480,28.85%,32.15%,$130556821.9,5.99%,$429.9367392,17.39%,470.4681801,19.03%,1571.966819,63.58%,1.270479784,7.60%,Lower middle income,40.45%,119902904.4,0.288,440.7191605,8.23%,1245.426942,23.26%,3668.100702,68.51%,0.60%,3.38%,3.98%,58808640.17,$14836330.64,759.2425112,11.69%,1487.765412,22.92%,4245.299769,65.39%,$13194066.99,$73644970.82,$86839037.8,$165869802.9,4404.946354,2087.361338,6492.307692,7826.618543,1334.31085,949.3004509,385.0103996,$296426624.9,13.59%,Sub-Saharan Africa,5.38%,4.23%,9.61%,70740464.99,$21484367.13,74.74207731,5.60%,333.0928454,24.96%,926.4759278,69.43%,$117362755,$92224832.11,$209587587.1,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Lithuania,,21.45%,19.14%,,,$2540.277198,10.31%,6279.681121,25.48%,15824.48514,64.21%,,,High income,,,0.297,13334.61361,13.00%,17661.24032,17.22%,71586.70261,69.78%,,,,,,14521.27664,12.66%,28228.67988,24.61%,71971.04348,62.74%,,,,,92759.43907,21961.56093,114721,127227,12506,9823.117469,2682.882531,,,Europe & Central Asia,,,,,,1428.836208,11.43%,1710.660848,13.68%,9366.502944,74.90%,,,,"",MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
"Macedonia, FYR",$10086021120,21.24%,27.48%,$1926626388,19.10%,$1689.87881,8.27%,4352.300761,21.29%,14397.96055,70.44%,0.012593295,0.24%,Upper middle income,53.61%,1045868276,0.349,6255.587428,11.44%,3965.321449,7.25%,44478.95101,81.31%,7.57%,,,,,14929.48311,20.79%,12165.58303,16.94%,44701.93386,62.26%,$763496635.8,,,$24262574.15,52066.85628,19730.14372,71797,75140,3343,2633.0036,709.9964003,$1950888962,19.34%,Europe & Central Asia,11.53%,,,,,151.4112527,4.53%,246.8565163,7.38%,2944.732231,88.09%,$1163129752,,,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Madagascar,$9980522496,28.90%,47.33%,$305447031.1,3.06%,$20123.32961,20.44%,24070.91123,24.44%,54279.34216,55.12%,8.768036851,26.83%,Low income,62.60%,1867793292,0.385,19600.60686,17.43%,27053.12646,24.06%,65790.68368,58.51%,0.03%,1.59%,1.62%,68572966.31,$90368499.31,56588.96481,27.80%,36070.50768,17.72%,110921.5275,54.49%,$3152422.553,$158941465.6,$162093888.2,$2678170824,107228.0267,96352.97329,203581,210918,7337,5216.390295,2120.609705,$2983617855,29.89%,Sub-Saharan Africa,3.03%,25.24%,28.27%,1386362028,$1132867331,777.9006178,10.60%,2181.95157,29.74%,4377.147812,59.66%,$302294608.5,$2519229359,$2821523967,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Malawi,$6565382144,15.08%,18.34%,$9422753.524,0.14%,$851.6264639,23.04%,1135.716784,30.73%,1708.483506,46.23%,50.62669986,7.27%,Low income,65.02%,316282959.1,0.394,6612.769816,38.00%,5284.318769,30.37%,5504.761178,31.63%,0.00%,0.30%,0.30%,18123844.81,$1310367.814,5544.563926,35.16%,4878.367674,30.94%,5346.299169,33.90%,$284632.9465,$19434212.63,$19718845.58,$477042914.5,12876.92308,2892.307692,15769.23077,21097.67652,5328.445748,4524.926686,803.5190616,$486465668,7.41%,Sub-Saharan Africa,0.14%,6.97%,7.11%,334376526.9,$123232175,1897.239345,35.61%,1608.198952,30.18%,1823.007451,34.21%,$9138120.577,$457608701.9,$466746822.5,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Malaysia,$296218000000,14.52%,22.98%,$69935901865,23.61%,$11102.45121,8.18%,57065.99661,42.07%,67491.05869,49.75%,0.30676969,7.24%,Upper middle income,42.05%,38425390018,0.296,56580.22564,11.11%,131119.6699,25.74%,321776.5979,63.16%,0.04%,2.22%,2.26%,4735153782,$1841024885,72545.87957,14.61%,114117.9108,22.99%,309794.2096,62.40%,$132778481.1,$6576178667,$6708957148,$21454214934,382381.7419,114076.2581,496458,645136,148678,127094.7516,21583.24844,$91390116799,30.85%,East Asia & Pacific,23.56%,5.02%,28.59%,11805326579,$3072709688,10375.25769,6.98%,49126.88979,33.04%,89175.85252,59.98%,$69803123384,$14878036267,$84681159651,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Mali,$13100263424,8.75%,10.18%,$860934578.1,6.57%,$291.1232896,42.66%,175.7484034,25.76%,215.5024001,31.58%,0.43155884,2.84%,Low income,66.39%,818234482.2,0.399,1133.839705,16.70%,2547.161766,37.53%,3106.624436,45.77%,0.01%,0.29%,0.30%,32763513.54,$4611961.646,548.6977687,27.41%,666.4282664,33.29%,786.8339649,39.30%,$1530288.488,$37375475.19,$38905763.68,$371543927.7,1798.220708,203.739292,2001.96,7470,5468.04,4989.405199,478.6348011,$1232478506,9.41%,Sub-Saharan Africa,6.56%,2.55%,9.11%,332267893.1,$1900559.382,713.9850207,13.06%,2120.336603,38.78%,2633.718376,48.17%,$859404289.6,$334168452.5,$1193572742,Predicted,"CEES Institute (2017) on behaf of API, Mali; Micro, SME distribution for ES","CEES Institute (2017) on behaf of API, Mali; Micro, SME distribution for ES"
Mauritania,$5442297344,6.22%,0.00%,$611111327.4,11.23%,$13.11706643,34.41%,6.335708818,16.62%,18.6703919,48.97%,,,Lower middle income,,,,559.3603674,24.67%,531.232928,23.43%,1176.494456,51.89%,0.30%,,,,,584.9274217,34.56%,417.0525058,24.64%,690.3277648,40.79%,$16225905.31,,,,1692.307692,0,1692.307692,2305.210918,612.9032258,574.7800587,38.12316716,,,Sub-Saharan Africa,10.93%,,,,,121.0080336,19.74%,134.0789999,21.88%,357.8161923,58.38%,$594885422.1,,,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Mauritius,$11510951936,3.78%,2.69%,$2435207831,21.16%,$96.05835756,8.31%,66.05171143,5.71%,994.0163007,85.98%,0.175993876,3.72%,Upper middle income,28.04%,803034442.9,0.219,92.42471296,0.24%,6047.795338,15.52%,32815.72216,84.24%,1.08%,2.20%,3.29%,247585750.4,$5752756.225,4497.660245,13.57%,2730.567153,8.24%,25910.23414,78.19%,$124871377.8,$253338506.6,$378209884.4,$428581665.8,32246.15385,892.3076923,33138.46154,40112.06858,6973.607038,6709.788361,263.8186774,$2863789497,24.88%,Sub-Saharan Africa,20.07%,1.52%,21.59%,173101572,$2141587.269,167.9957088,2.41%,842.933507,12.09%,5962.677822,85.50%,$2310336454,$175243159.3,$2485579613,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Mexico,$1144330000000,35.20%,29.86%,$27045681152,2.36%,$301899.3404,24.14%,133239.8591,10.65%,815643.9364,65.21%,6.060765699,14.32%,Upper middle income,40.45%,77243548761,0.288,352307.2987,12.23%,452929.2409,15.72%,2076402.324,72.06%,0.48%,0.03%,0.51%,269168555.9,$75045847.13,945044.9341,24.77%,422235.6906,11.07%,2448141.375,64.16%,$5479994293,$344214403.1,$5824208696,$163918000000,2676222.864,1139199.136,3815422,4132422,317000,205416,111584,$190963000000,16.69%,Latin America & Caribbean,1.88%,14.29%,16.18%,160864000000,$2709485854,16796.30371,5.30%,57192.61064,18.04%,243011.0857,76.66%,$21565686859,$163573000000,$185139000000,OECD,Country Source: Census 2014,http://www.inegi.org.mx/saladeprensa/boletines/2016/especiales/especiales2016_07_02.pdf
"Micronesia, Fed. Sts.",$318071968,61.29%,47.50%,$33000000,10.38%,$182.8444588,29.81%,80.7166355,13.16%,349.7720456,57.03%,2.361286096,24.50%,Lower middle income,,0,,220.2436515,41.88%,44.96699926,8.55%,260.6191866,49.56%,0.41%,3.14%,3.55%,7721766.489,$2280708.6,262.8646154,42.72%,59.77046154,9.71%,292.7495385,47.57%,$1297241.706,$10002475.09,$11299716.8,$77922441.17,323.0769231,292.3076923,615.3846154,1139.162977,523.7783618,202.7529142,321.0254476,$110922441.2,34.87%,East Asia & Pacific,9.97%,21.35%,31.32%,20396835.56,$47523130.51,159.554881,30.46%,61.40057994,11.72%,302.8229009,57.82%,$31702758.29,$67919966.08,$99622724.37,FAS,Enterprise Surveys -- rescaled,Original Gap analysis
Moldova,$6551161344,35.72%,32.84%,$671503965.5,10.25%,$884.804045,5.34%,1624.779413,9.81%,14048.36761,84.84%,1.331843824,13.65%,Lower middle income,79.53%,1245364761,0.443,3580.032577,10.89%,6392.197557,19.44%,22913.8188,69.68%,3.21%,0.69%,3.90%,35330780.56,$9893620.884,5771.301752,15.05%,7875.231569,20.54%,24689.46668,64.40%,$210310457.1,$45224401.45,$255534858.6,$894338409,25745.87637,12590.12363,38336,49444,11108,7140.172563,3967.827437,$1565842375,23.90%,Europe & Central Asia,7.04%,12.96%,20.00%,680436976.4,$168677031.1,285.8288847,2.57%,1265.490598,11.39%,9556.680518,86.03%,$461193508.4,$849114007.6,$1310307516,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Mongolia,$11757940736,30.27%,39.10%,$698933740.4,5.94%,$10831.56111,39.73%,5114.41959,18.76%,11317.31913,41.51%,1.850250221,11.00%,Lower middle income,19.62%,390801808.4,0.164,11642.94859,25.75%,11971.38983,26.48%,21595.36174,47.77%,0.17%,0.45%,0.62%,34241200.95,$18679776.16,20475.67759,33.95%,12937.81662,21.45%,26903.50579,44.60%,$19984488.78,$52920977.11,$72905465.89,$1293202307,36732.84429,23584.15571,60317,72473,12156,8476.855876,3679.144124,$1992136048,16.94%,East Asia & Pacific,5.77%,10.55%,16.32%,474876959.5,$765404370.8,3437.390647,28.28%,3074.613517,25.29%,5643.995836,46.43%,$678949251.6,$1240281330,$1919230582,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Montenegro,$3992640256,12.90%,25.11%,$530128321.9,13.28%,$0,0.00%,1970.222773,42.16%,2702.549616,57.84%,1.191889463,15.83%,Upper middle income,,0,,2040.450731,13.43%,4161.048732,27.38%,8995.026592,59.19%,3.10%,2.76%,5.85%,102326748,$7754707.976,2790.802225,16.15%,6700.148324,38.78%,7785.972528,45.07%,$123671077.7,$110081456,$233752533.7,$631854361.2,12938.46154,4338.461538,17276.92308,19869.29844,2592.375367,2258.064516,334.3108504,$1161982683,29.10%,Europe & Central Asia,10.18%,13.07%,23.25%,512588024.6,$9184880.542,57.42234602,2.22%,408.8755481,15.77%,2126.077472,82.01%,$406457244.2,$521772905.2,$928230149.4,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Morocco,$100360000000,4.89%,10.77%,$12500000000,12.46%,$42320.3807,28.26%,0,0.00%,107418.5022,71.74%,2.518353693,31.37%,Lower middle income,49.48%,21759623923,0.331,60628.28441,4.81%,128262.4348,10.18%,1071370.398,85.01%,0.85%,13.73%,14.58%,1429880501,$12353590201,138442.6558,10.07%,101884.0876,7.41%,1134673.257,82.52%,$853889342.4,$13783470702,$14637360044,$31479421161,1226971.589,148028.4113,1375000,1410000,35000,33289.52832,1710.471682,$43979421161,43.82%,Middle East & North Africa,11.60%,17.63%,29.24%,17441118476,$254831982.6,1763.237101,5.04%,3582.017859,10.23%,29654.74504,84.73%,$11646110658,$17695950459,$29342061116,Source: IFC analysis of banking portfolios,"National Agency of MSMEs, Morocco: Contrat –Cadre Etat –Agence Nationale pour la Promotion de la PME 2015-2020","National Agency of MSMEs, Morocco: Contrat –Cadre Etat –Agence Nationale pour la Promotion de la PME 2015-2020"
Mozambique,$14688606208,26.34%,18.22%,$205296600.9,1.40%,$1052.100429,18.70%,2238.786892,39.79%,2335.844127,41.51%,6.551828596,9.16%,Low income,62.87%,974659267.5,0.386,4242.772935,18.57%,8481.0865,37.12%,10123.40912,44.31%,0.00%,0.59%,0.59%,40411307.03,$46124444.53,4613.337483,19.99%,11461.28599,49.67%,6999.376532,30.33%,$20408.79297,$86535751.56,$86556160.35,$1345068141,18869.6269,4204.373102,23074,28474,5400,3977.641654,1422.358346,$1550364742,10.55%,Sub-Saharan Africa,1.40%,8.57%,9.97%,1092908462,$165623926.6,967.3801645,17.91%,1705.583917,31.58%,2727.035918,50.50%,$205276192.1,$1258532389,$1463808581,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Myanmar,$64865513472,27.18%,26.07%,$2740317090,4.22%,$14344.27245,42.70%,1491.771518,4.44%,17753.48908,52.85%,5.049999836,21.33%,Lower middle income,91.57%,15181461260,0.478,25949.31053,27.46%,9318.592141,9.86%,59236.58638,62.68%,0.83%,6.57%,7.40%,3237518656,$1023747172,39569.54552,35.73%,3830.75575,3.46%,67353.54488,60.81%,$540025026.6,$4261265828,$4801290855,$13838600855,81876.92308,28876.92308,110753.8462,128094.0221,17340.17595,12627.56598,4712.609971,$16578917945,25.56%,East Asia & Pacific,3.39%,14.76%,18.16%,7628116128,$1949218899,4457.954867,25.71%,2615.836102,15.09%,10266.38498,59.21%,$2200292063,$9577335027,$11777627090,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Namibia,$11546088448,27.74%,32.36%,$139597171.6,1.21%,$6719.677536,29.69%,1423.126373,6.29%,14487.01927,64.02%,12.8126656,15.49%,Upper middle income,39.86%,768586824.3,0.285,9619.024795,19.78%,4107.619448,8.45%,34905.34174,71.77%,0.04%,1.10%,1.14%,70467329.61,$56824906.54,18576.08768,30.01%,7713.170984,12.46%,35603.04903,57.52%,$4681352.139,$127292236.1,$131973588.3,$1788611879,41861.53846,20030.76923,61892.30769,71261.80916,9369.501466,6770.447522,2599.053945,$1928209050,16.70%,Sub-Saharan Africa,1.17%,14.39%,15.56%,1522807886,$138511756.9,1125.461717,12.01%,251.3466101,2.68%,7992.693139,85.31%,$134915819.5,$1661319643,$1796235462,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Nepal,$20880545792,20.55%,16.73%,$730830640.6,3.50%,$29801.75693,51.57%,8179.926816,14.16%,19803.54539,34.27%,4.927648026,17.25%,Low income,56.25%,2436810077,0.36,87638.02056,33.42%,51020.22285,19.46%,123556.5274,47.12%,0.65%,3.56%,4.21%,678325703.7,$65599166.13,69230.83064,33.20%,39354.22473,18.87%,99972.94463,47.94%,$134973233.1,$743924869.9,$878898103,$3601276163,173675.9401,34882.05986,208558,320000,111442,88538.83072,22903.16928,$4332106804,20.75%,South Asia,2.85%,13.68%,16.54%,2601310550,$256040743.4,48562.09679,43.58%,19741.48546,17.71%,43138.41775,38.71%,$595857407.5,$2857351294,$3453208701,Predicted,"Department of Cottage and Small Industries , 2016 and Berger (2014)","Women SME Banking Diagnostic, Berger, 2014"
Nicaragua,$12692561920,34.10%,58.65%,$242772450.4,1.91%,$23220.21194,23.96%,5888.374461,6.08%,67792.82224,69.96%,12.81711803,24.52%,Lower middle income,75.75%,2540866651,0.431,8227.77531,10.71%,7501.141632,9.76%,61111.67441,79.53%,0.04%,4.66%,4.70%,498157992.4,$93177503.31,42068.2358,27.43%,9949.081568,6.49%,101361.6826,66.09%,$5199073.508,$591335495.8,$596534569.3,$3111643152,63421.74601,89957.25399,153379,173742,20363,13418.84534,6944.154659,$3354415603,26.43%,Latin America & Caribbean,1.87%,19.86%,21.73%,2215281329,$305026326.9,1537.488841,7.55%,1956.739025,9.61%,16868.77213,82.84%,$237573376.9,$2520307656,$2757881033,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Niger,$7142951424,12.71%,13.85%,$329239323.4,4.61%,$922.9741348,83.75%,25.17069942,2.28%,153.8976788,13.96%,9.486829842,43.73%,Low income,62.87%,2170575293,0.386,2692.98692,38.57%,1953.737322,27.98%,2335.149329,33.45%,0.24%,4.86%,5.11%,329517741.9,$17986343.89,3516.909934,53.79%,1962.809635,30.02%,1058.74197,16.19%,$17354054.02,$347504085.8,$364858139.8,$3123437438,5632.899964,905.5615746,6538.461538,8083.916084,1545.454545,1348.973607,196.4809384,$3452676762,48.34%,Sub-Saharan Africa,4.37%,38.86%,43.23%,2652894973,$123038379.4,411.1838116,26.61%,330.7220966,21.40%,803.5486372,51.99%,$311885269.4,$2775933353,$3087818622,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Nigeria,$481066000000,13.03%,14.27%,$101349729.4,0.02%,$638971.5239,12.10%,2127579.95,40.31%,2512092.509,47.59%,1560.260424,32.87%,Lower middle income,112.77%,178433000000,0.53,3696100.017,11.65%,12227485.95,38.55%,15792348.05,49.79%,0.00%,13.71%,13.71%,62349105192,$3617377443,3354277.796,9.08%,15602420.46,42.26%,17965041.74,48.66%,$2267271.544,$65966482636,$65968749907,$158132000000,31652586.25,5269153.755,36921740,36994578,72838,63347.77165,9490.228353,$158233000000,32.89%,Sub-Saharan Africa,0.02%,19.16%,19.18%,73996346401,$18169142710,10429.29807,14.32%,25790.73781,35.41%,36617.96412,50.27%,$99082457.83,$92165489110,$92264571568,FAS,http://nigerianstat.gov.ng/pdfuploads/SMEDAN%202013_Selected%20Tables.pdf,http://nigerianstat.gov.ng/pdfuploads/SMEDAN%202013_Selected%20Tables.pdf
Pakistan,$269972000000,6.91%,7.54%,$3988590000,,$14376.00564,5.97%,17549.60631,7.28%,209022.384,86.75%,,15.20%,Lower middle income,50.60%,22777859743,0.336,958527.5218,32.39%,283145.1054,9.57%,1717379.377,58.04%,0.00%,10.56%,10.56%,25118832667,$3383600867,1415443.133,44.65%,257972.0711,8.14%,1496536.613,47.21%,$6199552.173,$28502433534,$28508633086,$41024799493,2931079.599,238872.2185,3169951.818,3200000,30048.18248,27972.40498,2075.777504,$45013389493,16.67%,South Asia,1.48%,4.64%,6.11%,12358314648,$164051310.6,7764.162286,25.84%,2929.889672,9.75%,19354.13053,64.41%,$3982390448,$12522365958,$16504756406,Country Source: http://www.sbp.org.pk/sme/PDF/DFG/2017/QSMEF-Dec-2017.pdf, http://www.sbp.org.pk/ACMFD/National-Financial-Inclusion-Strategy-Pakistan.pdf, http://www.sbp.org.pk/ACMFD/National-Financial-Inclusion-Strategy-Pakistan.pdf
Panama,$52132290560,11.05%,12.45%,$6053916662,11.61%,$4624.562935,18.46%,0,0.00%,20428.88555,81.54%,3.513326639,40.80%,Upper middle income,150.00%,40984955012,0.6,34863.81536,19.69%,8411.41708,4.75%,133819.3191,75.56%,0.01%,4.21%,4.21%,2168576529,$24511647.43,5151.520756,2.65%,2636.291103,1.36%,186608.1881,95.99%,$3428618.465,$2193088176,$2196516795,$21269386679,170199.0295,24196.97046,194396,202148,7752,6895.521984,856.4780158,$27323303341,52.41%,Latin America & Caribbean,11.61%,36.59%,48.20%,18269472400,$806826103.4,2027.683441,26.16%,415.4195702,5.36%,5308.896989,68.48%,$6050488043,$19076298503,$25126786546,Predicted,"Country source: Autoridad de la Micro, Pequeña y Mediana Empresa  (2015)","Country source: Autoridad de la Micro, Pequeña y Mediana Empresa  (2015)"
Papua New Guinea,,32.02%,43.75%,$0,,$3583.213775,33.05%,4026.212552,37.13%,3232.779822,29.82%,,,Lower middle income,57.48%,178702619.7,0.365,1429.905778,6.24%,1352.651093,5.90%,20143.20598,87.86%,,,,0,$0,0,0.00%,66.76356923,27.12%,179.3902769,72.88%,$0,$0,$25186241.72,$0,138.4615385,107.6923077,246.1538462,33767.969,33521.81516,22787.30131,10734.51384,$310893598.7,,East Asia & Pacific,,,,0,$0,5533.043766,16.51%,5136.782389,15.32%,22851.989,68.17%,$0,$0,$285707357,"",Enterprise Surveys -- rescaled,Original Gap analysis
Paraguay,$27622778880,18.87%,30.58%,$2507273201,9.08%,$719.3606277,1.07%,2676.142388,3.97%,63947.49107,94.96%,1.583773078,14.38%,Upper middle income,59.74%,3870377233,0.374,19533.13291,12.57%,29960.65485,19.29%,105848.2182,68.14%,0.09%,0.41%,0.50%,93774914.25,$18876443.58,22695.29088,10.50%,57114.89638,26.41%,136417.8127,63.09%,$24449510.24,$112651357.8,$137100868.1,$3970951794,150103.2294,66124.77064,216228,222685,6457,5238.776561,1218.223439,$6478224995,23.45%,Latin America & Caribbean,8.99%,13.97%,22.96%,3527890168,$330410268.3,646.1076458,10.01%,644.5341476,9.98%,5166.358207,80.01%,$2482823691,$3858300436,$6341124127,Predicted,"Country source: Dirección General de Estadística, Encuestas y Censos (DGEEC), ""Censo Económico Nacional 2011""","Country source: Dirección General de Estadística, Encuestas y Censos (DGEEC), ""Censo Económico Nacional 2011"""
Peru,$192084000000,12.96%,17.05%,$24581000000,12.80%,$13188.59719,4.65%,16633.61553,5.86%,253959.0937,89.49%,0.329511123,4.22%,Upper middle income,115.98%,37903980210,0.537,272527.0699,19.48%,425207.777,30.40%,701164.8466,50.12%,0.51%,0.40%,0.92%,653293872,$123892246.6,407027.489,25.32%,319369.8962,19.87%,880907.6148,54.81%,$982825434.5,$777186118.6,$1760011553,$8099712918,1333295.205,274009.7946,1607305,1682681,75376,65604.48814,9771.511863,$32680712918,17.01%,Latin America & Caribbean,12.29%,3.81%,16.10%,6965539365,$356987435.1,3182.883347,4.22%,26014.916,34.51%,46178.20066,61.26%,$23598174566,$7322526800,$30920701365,Country Source: Superintency of Banks (April 2018),"Country source: Pervian Tax Authority, SUNAT","Country source: Pervian Tax Authority, SUNAT"
Philippines,,37.24%,29.09%,,,$8707.652369,3.57%,34396.31405,14.12%,200494.1253,82.31%,,,Lower middle income,,,0.383,59736.80446,10.42%,45392.21156,7.92%,468031.8923,81.66%,,,,,,49488.60011,6.66%,43334.26511,5.83%,650427.1348,87.51%,,,,,527026.1939,216223.8061,743250,816759,73509,46134.71435,27374.28565,,,East Asia & Pacific,,,,,,5686.837595,7.74%,8533.165793,11.61%,59288.99661,80.66%,,,,"",MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Poland,$474783000000,23.77%,37.03%,$55072943816,11.60%,$53384.99787,9.64%,47003.11532,8.48%,453589.5165,81.88%,1.95834607,22.72%,High income,35.14%,57243858101,0.26,45483.1606,4.71%,104916.9168,10.86%,816026.2928,84.44%,4.97%,7.16%,12.13%,21718132951,$12262007223,140230.5259,9.66%,136120.4871,9.37%,1175670.987,80.97%,$23598088231,$33980140174,$57578228406,$107852000000,914299.0523,537722.9477,1452022,1520404,68382,52127.31793,16254.68207,$162925000000,34.32%,Europe & Central Asia,6.63%,15.56%,22.19%,54125473066,$19746269847,2640.565825,3.86%,7283.438753,10.65%,58457.99542,85.49%,$31474855584,$73871742913,$105347000000,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Romania,$177954000000,23.77%,35.25%,$18232839393,10.25%,$34928.48335,25.36%,22588.56471,16.40%,80196.80516,58.23%,2.515871534,25.78%,Upper middle income,43.27%,27735680433,0.302,47398.7376,17.57%,50275.51373,18.64%,172021.8954,63.78%,1.65%,7.40%,9.05%,9877764158,$3291902771,85899.12797,24.13%,60485.56113,16.99%,209623.3109,58.88%,$2933545070,$13169666929,$16103211999,$45871481609,230512.4974,125495.5026,356008,407410,51402,39183.64942,12218.35058,$64104321002,36.02%,Europe & Central Asia,8.60%,18.38%,26.97%,30067236656,$2634578024,8194.314766,15.94%,9709.333665,18.89%,33498.35157,65.17%,$15299294322,$32701814680,$48001109002,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Russian Federation,$1326020000000,13.39%,20.28%,$134059000000,10.11%,$87947.01797,27.40%,58804.41642,18.32%,174219.5968,54.28%,1.656143602,16.74%,Upper middle income,68.35%,243381000000,0.406,385375.0658,28.58%,231407.9772,17.16%,731684.9258,54.26%,0.30%,2.49%,2.79%,23254424740,$9715932942,370022.3943,26.15%,310337.2101,21.93%,734826.3955,51.92%,$3996162542,$32970357682,$36966520224,$222021000000,1128253.991,286932.0094,1415186,1669439,254253,220213.9782,34039.02179,$356079000000,26.85%,Europe & Central Asia,9.81%,14.26%,24.07%,175716000000,$13333835245,74958.16375,29.48%,38251.1604,15.04%,141043.6758,55.47%,$130063000000,$189050000000,$319113000000,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Rwanda,$8095980032,11.48%,23.83%,$217157882.2,2.68%,$7722.561962,27.31%,3163.247273,11.19%,17394.82242,61.51%,5.865669824,15.73%,Low income,64.20%,957233692.3,0.391,25436.96467,26.74%,24526.49389,25.79%,45145.90979,47.47%,0.34%,0.54%,0.88%,39823939.46,$3709870.956,42077.25823,36.80%,31505.07776,27.56%,40746.66401,35.64%,$27457330.13,$43533810.42,$70991140.55,$1273776437,87088.15523,27240.84477,114329,123390,9061,8021.213115,1039.786885,$1490934319,18.42%,Sub-Saharan Africa,2.34%,15.20%,17.54%,1155991351,$74251275.61,1908.701331,21.07%,1822.98268,20.12%,5329.31599,58.82%,$189700552.1,$1230242626,$1419943178,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
